mic,cam,ss,t,app
1,0,0,2,1
1,0,0,2,1
1,0,0,2,1
1,0,0,2,1
1,0,0,2,1
1,0,0,2,1
1,0,0,2,1
1,0,0,2,1
1,0,0,8,1
1,0,0,8,1
1,0,0,8,1
1,0,0,8,1
1,0,0,8,1
1,0,0,8,1
1,0,0,8,1
1,0,0,8,1
1,1,0,2,1
1,1,0,2,1
1,1,0,2,1
1,1,0,2,1
1,1,0,2,1
1,1,0,2,1
1,1,0,2,1
1,1,0,2,1
1,1,0,8,1
1,1,0,8,1
1,1,0,8,1
1,1,0,8,1
1,1,0,8,1
1,1,0,8,1
1,1,0,8,1
1,1,0,8,1
1,0,1,2,1
1,0,1,2,1
1,0,1,2,1
1,0,1,2,1
1,0,1,2,1
1,0,1,2,1
1,0,1,2,1
1,0,1,2,1
1,0,1,8,1
1,0,1,8,1
1,0,1,8,1
1,0,1,8,1
1,0,1,8,1
1,0,1,8,1
1,0,1,8,1
1,0,1,8,1
1,1,1,2,1
1,1,1,2,1
1,1,1,2,1
1,1,1,2,1
1,1,1,2,1
1,1,1,2,1
1,1,1,2,1
1,1,1,2,1
1,1,1,8,1
1,1,1,8,1
1,1,1,8,1
1,1,1,8,1
1,1,1,8,1
1,1,1,8,1
1,1,1,8,1
1,1,1,8,1
