run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
1-w,web,1,1,0,2,3,27985,3.23259125,9.99079,0.19798
10-w,web,1,0,0,8,3,6892,2.9,41.40088,0.12908
100-w,web,1,1,0,8,2,98325,2.71049,40.7722500000001,0.13981
101-w,web,1,0,1,8,2,103003.25,2.89427,40.90181,0.17508
102-w,web,1,0,1,8,2,103003.25,2.89236,40.74871,0.17415
103-w,web,1,0,1,8,1,60565,2.83518,40.87461,0.15647
104-w,web,1,0,1,2,2,42891,2.91102,10.14676,0.17816
105-w,web,1,1,0,8,2,99391,2.73026,40.80369,0.13297
106-w,web,1,0,0,8,2,65197,2.57908125,41.25662,0.10629
107-w,web,1,0,1,8,3,61916,3.06441,40.93088,0.17035
108-w,web,1,1,0,2,1,31464,2.82479,10.2744,0.18172
109-w,web,1,0,0,8,2,68037,2.57908125,41.27777,0.10676
11-w,web,1,1,0,8,1,6654,2.90043,41.42449,0.12909
110-w,web,1,1,1,8,2,103003.25,3.10276,40.74359,0.18506
111-w,web,1,0,1,8,1,65549,2.83426,40.93171,0.15665
112-w,web,1,1,0,2,2,24864,2.75214,10.17832,0.14437
113-w,web,1,1,0,2,1,33272,2.79829,10.18875,0.1858
114-w,web,1,1,1,2,1,18126,3.00256,10.22679,0.18507
115-w,web,1,0,0,2,3,7798,2.61983,10.26728,0.09382
116-w,web,1,1,1,2,3,26639,3.23259125,10.1973,0.19794
117-w,web,1,0,0,2,1,7448,2.71709,10.18579,0.12581
118-w,web,1,1,0,2,3,21970,2.98889,10.15749,0.14295
119-w,web,1,1,1,8,3,103003.25,3.23259125,40.72279,0.20424
12-w,web,1,0,1,2,3,1660,2.90172,10.27067,0.12803
120-w,web,1,1,1,2,1,14295,3.0094,10.22507,0.18273
121-w,web,1,0,0,2,2,16568,2.57908125,10.23653,0.09953
122-w,web,1,0,1,2,1,9933,2.82137,10.20094,0.15795
123-w,web,1,0,1,8,3,72091,3.08365,40.82201,0.17327
124-w,web,1,0,1,2,1,10052,2.82479,10.22073,0.15479
125-w,web,1,0,0,8,1,28550,2.61242,41.1819000000001,0.12379
126-w,web,1,0,0,8,2,63904,3.00069,41.26493,0.09412
127-w,web,1,0,0,2,1,7482,2.72931,10.20305,0.12403
128-w,web,1,1,1,2,2,52553,3.11441,10.1341,0.18362
129-w,web,1,0,1,2,2,42728,2.91186,10.14729,0.18106
13-w,web,1,1,0,8,3,6679,2.9,41.38612,0.12805
130-w,web,1,0,0,2,1,7533,2.64274,10.19479,0.12615
131-w,web,1,0,0,8,1,28934,2.61094,41.17033,0.1238
132-w,web,1,1,0,8,3,103003.25,3,41.6532400000001,0.13191
133-w,web,1,1,0,8,3,103003.25,3,41.60738,0.13496
134-w,web,1,1,0,2,2,25702,2.74138,10.09571,0.13472
135-w,web,1,1,0,2,1,26108,2.82222,10.25806,0.18329
136-w,web,1,0,1,8,2,103003.25,2.90403,40.79519,0.16946
137-w,web,1,1,0,8,3,103003.25,2.99488,41.73137,0.13201
138-w,web,1,1,0,8,2,99179,2.71459,40.73693,0.13496
139-w,web,1,1,1,2,3,39531,3.23259125,10.17216,0.19997
14-w,web,1,1,0,8,1,6568,2.9,41.46017,0.12871
140-w,web,1,0,1,2,3,17977,3.0339,10.14673,0.16941
141-w,web,1,1,0,8,3,103003.25,3,40.8558000000002,0.14965
142-w,web,1,1,1,2,1,13765,3.00932,10.24163,0.1814
143-w,web,1,0,1,8,1,51394,2.81919,40.9255100000002,0.15196
144-w,web,1,1,1,2,3,39003,3.23259125,10.16411,0.20425
145-w,web,1,0,0,2,2,16507,2.57908125,10.25145,0.1087
146-w,web,1,0,0,2,1,7506,2.63846,10.21182,0.12405
147-w,web,1,0,0,2,2,16451,2.57908125,10.25339,0.10339
148-w,web,1,0,0,2,2,16428,2.57908125,10.2509,0.11123
149-w,web,1,0,1,2,3,15828,3.01111,10.16069,0.17273
15-w,web,1,0,1,2,3,1731,2.9,10.30483,0.12889
150-w,web,1,0,0,2,1,7572,2.64359,10.21477,0.12632
151-w,web,1,0,0,2,3,8228,2.61966,10.30374,0.09206
152-w,web,1,1,1,8,3,103003.25,3.23259125,40.7769900000002,0.20586
153-w,web,1,1,1,2,2,51738,3.11102,10.03068,0.1924
154-w,web,1,0,1,8,3,74223,3.15021,40.7195000000002,0.17532
155-w,web,1,1,0,2,2,25307,2.73162,10.19292,0.13145
156-w,web,1,0,1,8,2,103003.25,2.87877,40.8749600000002,0.16824
157-w,web,1,0,1,8,3,73175,3.07728,40.9904400000002,0.17486
158-w,web,1,1,1,2,3,34236,3.23259125,10.15334,0.20078
159-w,web,1,1,0,8,2,98641,2.71049,40.7268000000002,0.13263
16-w,web,1,1,1,2,2,1664,2.9,10.32511,0.13144
160-w,web,1,0,0,8,2,64680,2.57908125,41.2258000000002,0.09451
161-w,web,1,1,1,8,1,54680,2.99002,41.1957800000002,0.18235
162-w,web,1,1,1,2,2,50099,3.11441,10.13678,0.17964
163-w,web,1,1,1,2,3,38666,3.23259125,10.13529,0.2059
164-w,web,1,1,1,2,3,37703,3.23259125,10.09181,0.20241
165-w,web,1,0,1,8,1,40410,2.81149,40.9766900000002,0.15241
166-w,web,1,1,1,2,3,43578,3.23259125,10.12256,0.20704
167-w,web,1,1,1,8,3,103003.25,3.23259125,40.9983000000002,0.20718
168-w,web,1,0,1,2,3,15252,3.02119,10.08794,0.17007
169-w,web,1,1,1,8,1,51969,3,41.1670100000002,0.17915
17-w,web,1,0,0,2,3,1640,2.9,10.2585,0.13289
170-w,web,1,1,0,2,2,25493,2.73966,10.11486,0.16006
171-w,web,1,0,1,2,1,10040,2.87458,10.21295,0.15919
172-w,web,1,1,1,2,1,14394,2.96239,10.17882,0.18348
173-w,web,1,0,1,2,1,10308,2.91186,10.16709,0.1552
174-w,web,1,1,0,8,2,99250,2.71052,40.7734800000002,0.13814
175-w,web,1,1,0,8,1,103003.25,2.80107,40.8004800000002,0.18062
176-w,web,1,0,1,8,3,77340,3.08047,40.9182700000002,0.17521
177-w,web,1,1,1,8,3,103003.25,3.23259125,40.9753000000002,0.20644
178-w,web,1,1,1,8,2,103003.25,3.10318,40.5225300000002,0.18769
179-w,web,1,0,1,8,1,39968,2.80532,40.9815800000002,0.15432
