run_id,app_type,microphone,camera,screen,duration,app,network,memory,energy,cpu
1-w,web,1,1,0,2,3,16.8295336725502,2.88475598715846,2.30429270830978,-1.08387795177644
10-w,web,1,0,0,8,3,13.5155814060111,2.38857686345816,3.73018507991122,-1.24483840051331
100-w,web,1,1,0,8,2,20.179162730247,2.11467832354452,3.71482815874518,-1.21751327695641
101-w,web,1,0,1,8,2,20.3104929928224,2.38019906299819,3.71801246592585,-1.13395901486201
102-w,web,1,0,1,8,2,20.3104929928224,2.37740777826213,3.71424851096788,-1.13605547560138
103-w,web,1,0,1,8,1,18.8423723649783,2.29415065411685,3.71734478470232,-1.17695364833526
104-w,web,1,0,1,2,2,17.9254280950804,2.40470575917789,2.31981900333321,-1.12705266546473
105-w,web,1,1,0,8,2,20.2095805622752,2.142941331477,3.71560181448532,-1.23481405140834
106-w,web,1,0,0,8,2,19.0419363435326,1.92870292776501,3.72668162078027,-1.30664351747914
107-w,web,1,0,1,8,3,18.9019741245982,2.63145000182361,3.71872556004724,-1.14467635135932
108-w,web,1,1,0,2,1,17.1260804217225,2.27908618479836,2.33234876415072,-1.11913892204399
109-w,web,1,0,0,8,2,19.1580044273831,1.92870292776501,3.72719602881891,-1.30530979250355
11-w,web,1,1,0,8,1,13.4377347185304,2.38920580264715,3.73075730440201,-1.24481245196737
110-w,web,1,1,1,8,2,20.3104929928224,2.68878414702295,3.71412239205319,-1.11177962743095
111-w,web,1,0,1,8,1,19.0565692093634,2.29281594861893,3.71874591271771,-1.17652672191567
112-w,web,1,1,0,2,2,16.5334325609306,2.17430607393619,2.32293167845176,-1.20619776076247
113-w,web,1,1,0,2,1,17.2685883039061,2.24075345967943,2.32395824094803,-1.1101575189396
114-w,web,1,1,1,2,1,15.7572844661069,2.53952237266826,2.32769341432898,-1.11175768693047
115-w,web,1,0,0,2,3,13.7911284856952,1.98601861452701,2.33165393611731,-1.34309382898192
116-w,web,1,1,1,2,3,16.7057180946686,2.88475598715846,2.32479898356056,-1.08396300323249
117-w,web,1,0,0,2,1,13.6883165826825,2.12410546374385,2.32366701258887,-1.25337441676206
118-w,web,1,1,0,2,3,16.2269325024272,2.51929526227734,2.32087835726617,-1.20970337089507
119-w,web,1,1,1,8,3,20.3104929928224,2.88475598715846,3.71360987109787,-1.07066454656498
12-w,web,1,0,1,2,3,10.5515389150563,2.39109281999618,2.33198482015156,-1.24756822900143
120-w,web,1,1,1,2,1,15.1886122299257,2.54965568677207,2.32752482618478,-1.11690691047644
121-w,web,1,0,0,2,2,15.5405989055397,1.92870292776501,2.32864755965736,-1.32613979528684
122-w,web,1,0,1,2,1,14.3400083779714,2.27413184754896,2.3251567000445,-1.1734501229913
123-w,web,1,0,1,8,3,19.3162720328624,2.66018242109056,3.7160523469602,-1.13804403012688
124-w,web,1,0,1,2,1,14.3673302886856,2.27908618479836,2.32709930920663,-1.1809493804746
125-w,web,1,0,0,8,1,16.8798985151195,1.97557213920534,3.72486217714424,-1.25869912897048
126-w,web,1,0,0,8,2,18.9875612574173,2.53675344142465,3.72688376712507,-1.34219131154918
127-w,web,1,0,0,2,1,13.6984946325162,2.14158154384284,2.3253639992982,-1.25806438221257
128-w,web,1,1,1,2,2,18.4618461018511,2.70625148880016,2.31856766378223,-1.11494484633168
129-w,web,1,0,1,2,2,17.9154682081227,2.40593608063567,2.31987135556494,-1.12060058684243
13-w,web,1,1,0,8,3,13.4460299281223,2.38857686345816,3.72982718308717,-1.24751613506371
130-w,web,1,0,0,2,1,13.7136830808544,2.01838338439112,2.32455224210816,-1.25248210422215
131-w,web,1,0,0,8,1,16.9136137030345,1.97348693023945,3.72458015100801,-1.25867266975155
132-w,web,1,1,0,8,3,20.3104929928224,2.53573190582451,3.73628460030005,-1.23753192719769
133-w,web,1,1,0,8,3,20.3104929928224,2.53573190582451,3.73517891753913,-1.22973873712637
134-w,web,1,1,0,2,2,16.6161190413899,2.15887055846409,2.31476354981135,-1.2303489783591
135-w,web,1,1,0,2,1,16.6553010238104,2.27536298851081,2.33075345724365,-1.11567183547289
136-w,web,1,0,1,8,2,20.3104929928224,2.39447264612942,3.71539271058657,-1.1467083564347
137-w,web,1,1,0,8,3,20.3104929928224,2.52815443753109,3.73816551358981,-1.23727509031713
138-w,web,1,1,0,8,2,20.2035549614925,2.1205336140682,3.71395831523929,-1.22973873712637
139-w,web,1,1,1,2,3,17.7127848340608,2.88475598715846,2.32232489277481,-1.07965669663944
14-w,web,1,1,0,8,1,13.4089809982149,2.38857686345816,3.73162144587241,-1.24579915583555
140-w,web,1,0,1,2,3,15.7373103751035,2.58601934977052,2.31981603991765,-1.1468226613129
141-w,web,1,1,0,8,3,20.3104929928224,2.53573190582451,3.71688279401562,-1.19330157574887
142-w,web,1,1,1,2,1,15.0992434493229,2.54953712089902,2.32914680175557,-1.11984729866804
143-w,web,1,0,1,8,1,18.4024826230722,2.27097493859736,3.71859387075693,-1.18772624151379
144-w,web,1,1,1,2,3,17.6778839802586,2.88475598715846,2.32153138067111,-1.07064359098796
145-w,web,1,0,0,2,2,15.5317432218082,1.92870292776501,2.33010738840377,-1.29983334839603
146-w,web,1,0,0,2,1,13.7056538329141,2.01232942393354,2.32622515883339,-1.25801151248231
147-w,web,1,0,0,2,2,15.5235871608467,1.92870292776501,2.33029704932424,-1.31493440003174
148-w,web,1,0,0,2,2,15.5202300301848,1.92870292776501,2.33005361203168,-1.29275932526147
149-w,web,1,0,1,2,3,15.4311061458314,2.55219030144172,2.32119407119818,-1.13926660886599
15-w,web,1,0,1,2,3,10.6334208145596,2.38857686345816,2.33531296218269,-1.24533160090585
150-w,web,1,0,0,2,1,13.7252347794608,2.01958610658833,2.32651466445918,-1.25203636801099
151-w,web,1,0,0,2,3,13.9118411080008,1.98577883340582,2.33520693595218,-1.34841590011496
152-w,web,1,1,1,8,3,20.3104929928224,2.88475598715846,3.71494483582833,-1.06727595095793
153-w,web,1,1,1,2,2,18.4202282112375,2.70116630610771,2.30828655032602,-1.09582103379667
154-w,web,1,0,1,8,3,19.3962826322382,2.76007383446592,3.71352878012774,-1.13341883527654
155-w,web,1,1,0,2,2,16.5774544044582,2.1448882689195,2.32436837535773,-1.23871454664033
156-w,web,1,0,1,8,2,20.3104929928224,2.35756629416104,3.71735337900726,-1.14950189599902
157-w,web,1,0,1,8,3,19.3572179231287,2.65066255088339,3.72018500232846,-1.13445448253037
158-w,web,1,1,1,2,3,17.3417152584321,2.88475598715846,2.3204687677384,-1.07794410318379
159-w,web,1,1,0,8,2,20.1882108122916,2.11467832354452,3.71370869957028,-1.23568471997943
16-w,web,1,1,1,2,2,10.5562359080599,2.38857686345816,2.33728359292086,-1.23874027714708
160-w,web,1,0,0,8,2,19.0203134714343,1.92870292776501,3.72593154818211,-1.3410200395256
161-w,web,1,1,1,8,1,18.567756714931,2.52096604091318,3.72520040658395,-1.11774600131981
162-w,web,1,1,1,2,2,18.3346949325723,2.70625148880016,2.31883269056116,-1.12375381849049
163-w,web,1,1,1,2,3,17.6553828144949,2.88475598715846,2.31868535222474,-1.06719243935154
164-w,web,1,1,1,2,3,17.5900864987761,2.88475598715846,2.31437628553927,-1.07450749799662
165-w,web,1,0,1,8,1,17.7699569167777,2.25983136818967,3.71984826418423,-1.1866447426217
166-w,web,1,1,1,2,3,17.967031375615,2.88475598715846,2.31742566595025,-1.06481552662618
167-w,web,1,1,1,8,3,20.3104929928224,2.88475598715846,3.72037744341004,-1.0645240457782
168-w,web,1,0,1,2,3,15.3426067733841,2.56714162852408,2.31399185240473,-1.14531509961358
